Jugador;Club;TORNEIG D''ARBÚCIES (2014-2015);TORNEIG DE RIPOLL (2014-2015);TORNEIG DE TONA (2014-2015);TORNEIG DE DOBLES (2014-2015);Lliga INTERCOMARCAL (2014-2015);INDIVIDUAL INTERCOMARCAL (14-15);TORNEIG DE SANT VICENÇ (2014-2015);TOP-8 (2014-2015);TORNEIG DE SANT QUIRZE (2013-2014);12 HORES DE TORELLÓ (2013-2014);TORNEIG DE CAMPRODON (2013-2014);TOTAL
Juanjo Cortés  ;SANT QUIRZE TTC;15;0;0;15;20;20;10;13;5;13;10;121
Xevi Sellas  ;TT RIPOLL;0;17;17;0;0;0;17;20;5;15;15;106
Isaac Coll  ;TT RIPOLL;10;10;5;10;0;4;10;11;13;0;10;83
Jordi Tor  ;SANT QUIRZE TTC;0;0;10;20;0;0;20;17;15;0;0;82
David Avilés  ;TT TORELLÓ;0;0;0;13;12;13;5;12;10;10;0;75
Lluís Burgaya  ;TT BORGONYÀ;0;0;0;10;15;17;10;15;0;0;0;67
Dani Pons;CTT OLOT;0;15;0;20;0;15;0;10;0;0;0;60
Antoni Salamanca ;SANT QUIRZE TTC;10;10;5;17;6;0;0;0;5;0;0;53
Jordi Terricabras;SANT QUIRZE TTC;0;0;15;17;17;0;0;0;0;0;0;49
Oriol Camprubí  ;SANT QUIRZE TTC;0;0;0;5;10;8;10;6;0;0;5;44
Edu Martínez  ;TT RIPOLL;0;20;0;0;0;0;0;0;10;0;10;40
Jordi Forcada  ;TT MONT-RODON;10;0;0;5;11;8;0;0;0;0;5;39
Miquel Gutierrez ;CTT SANT HILARI;5;0;0;10;7;11;0;5;0;0;0;38
Jordi Borrull ;VIC TT;5;10;0;0;0;6;0;9;0;0;0;30
Àlex Alejo  ;VIC TT;0;0;0;0;9;8;0;3;0;5;5;30
Dani Garcia ;TT RIPOLL;0;0;0;0;0;12;0;4;0;0;10;26
Dani Zamora  ;TT TORELLÓ;0;0;0;0;13;8;0;0;0;5;0;26
Marc Lara ;CTT RODA DE TER;13;0;0;0;0;0;13;0;0;0;0;26
Joan Ges. jr  ;TT LA GARRIGA;5;0;0;5;0;9;0;1;0;0;5;25
Nil Aragall  ;TT LA GARRIGA;0;0;0;0;0;0;15;0;5;5;0;25
